,Category,title
0,Amazon Launchpad,"Watch Ya' Mouth Family Edition - The Authentic, Hilarious, Mouthguard Party Game"
1,Amazon Launchpad,"SmartyPants Kids Complete Gummy Vitamins: Multivitamin & Omega 3 DHA/EPA Fish Oil, Methylfolate, Methyl B12, Vitamin D3, 120 count (30 Day Supply)"
2,Amazon Launchpad,"Anova Culinary PCB-120US-K1 Bluetooth Precision Cooker, 800 Watts, Black"
3,Amazon Launchpad,Joking Hazard
4,Amazon Launchpad,Tile Mate - Key Finder. Phone Finder. Anything Finder - 1-pack
5,Amazon Launchpad,"Soylent Ready to Drink Food, Original, 14 oz Bottles, 12 Count"
6,Amazon Launchpad,"TubShroom The Revolutionary Tub Drain Protector Hair Catcher/Strainer/Snare, White"
7,Amazon Launchpad,iOttie Easy One Touch 3 (V2.0) Car Mount Universal Phone Holder for iPhone 7 Plus 6s Plus SE Samsung Galaxy S7 Edge S6 Edge Note 5- Retail Packaging- Black
8,Amazon Launchpad,YETI Rambler Stainless Steel Vacuum Insulated Tumbler with Lid
9,Amazon Launchpad,"TubShroom The Revolutionary Tub Drain Protector Hair Catcher/Strainer/Snare, Blue"
10,Amazon Launchpad,"Tile Mate Key Finder, Phone Finder, 4-pack"
11,Amazon Launchpad,"Yeti Stainless Steel Tumbler, 30 Oz"
12,Amazon Launchpad,"TubShroom the Revolutionary Tub Drain Protector Hair Catcher/Strainer/Snare, Gray"
13,Amazon Launchpad,"Tile Mate & Slim Combo Pack, Key/Wallet/Item Finder, 4-pack"
14,Amazon Launchpad,"nonda USB-C to USB 3.0 Mini Adapter [World’s Smallest] Aluminum Body with Indicator LED for Macbook Pro 2016, MacBook 12-inch and other Type-C Devices (Space Gray)"
15,Amazon Launchpad,"SmartyPants Kids Complete Fiber Multivitamin Omega 3 EPA and DHA Fish Oil Vitamin D3 Methyl B12 Dietary Supplements, 120 Counts"
16,Amazon Launchpad,Rocketbook Wave Smart Notebook
17,Amazon Launchpad,"iOttie Easy One Touch Mini Air Vent Car Mount Holder Cradle for iPhone 7 7 Plus/ 6s Plus/6s/6, Galaxy S7/S7 Edge, EdgeS6/S6 Edge, Galaxy Note 5, Nexus 6, & Smartphones"
18,Amazon Launchpad,Cozmo
19,Amazon Launchpad,Watch Ya' Mouth Adult Phrase Card Game Expansion Pack #1
20,Amazon Launchpad,Tile Slim - Phone Finder. Wallet Finder. Item Finder - 1-Pack
21,Amazon Launchpad,"remodeez Footwear Deodorizer: Charcoal Odor and Moisture Remover, Green (2 Pack)"
22,Amazon Launchpad,"SmartyPants PreNatal Complete Gummy Vitamins: Multivitamin, Folate (Methylfolate), Vitamin K2, Vitamin D3, Methyl B12, Biotin, & Omega 3 DHA/EPA Fish Oil, 180 count (30 Day Supply)"
23,Amazon Launchpad,"Four Sigmatic Mushroom Coffee with Lion’s Mane & Chaga (10 Count) – Paleo, Vegan - Concentration & Focus"
24,Amazon Launchpad,"TubShroom the Revolutionary Tub Drain Protector Hair Catcher, Strainer, Snare, Green"
25,Amazon Launchpad,"Withings Body Cardio - Heart Health and Body Composition Wi-Fi Scale, Black"
